,_id,Country,CountryCode,ObservationType,IndicatorCode,IndicatorNameShort,RANK,SCORE,YEAR,RAW
778,{'$oid': '642b15e88c5067f4a899ffe6'},Czech Republic,CZE,IndicatorObservation,RDFUND,Research and Development,21,0.576,2018,0.576
779,{'$oid': '642b15e88c5067f4a899ffe7'},Czech Republic,CZE,IndicatorObservation,RECYCL,Recycling Rate,24,0.364,2018,25.5
780,{'$oid': '642b15e88c5067f4a899ffe8'},Czech Republic,CZE,IndicatorObservation,RULELW,Rule of Law Index,33,0.85,2018,0.85
781,{'$oid': '642b15e88c5067f4a899ffe9'},Czech Republic,CZE,IndicatorObservation,SANSRV,Basic Sanitation Services,22,0.976,2015,97.58
782,{'$oid': '642b15e88c5067f4a899ffea'},Czech Republic,CZE,IndicatorObservation,SECAPP,Security Apparatus,22,0.68,2019,3.2
783,{'$oid': '642b15e88c5067f4a899ffeb'},Czech Republic,CZE,IndicatorObservation,SENIOR,Senior Wellbeing,24,0.676,2018,0.676
784,{'$oid': '642b15e88c5067f4a899ffec'},Czech Republic,CZE,IndicatorObservation,STKHLM,Stockholm Convention Compliance,22,0.667,2015,66.67
785,{'$oid': '642b15e88c5067f4a899ffed'},Czech Republic,CZE,IndicatorObservation,TAXEVA,Tax Evasion,30,0.895,2018/2019,207.55
786,{'$oid': '642b15e88c5067f4a899ffee'},Czech Republic,CZE,IndicatorObservation,TAXREV,Tax Revenue,31,0.298,2017,14.87736
787,{'$oid': '642b15e88c5067f4a899ffef'},Czech Republic,CZE,IndicatorObservation,TRNETW,National Transport Network Intensity,15,0.807,2007-17,0.807
788,{'$oid': '642b15e88c5067f4a899fff0'},Czech Republic,CZE,IndicatorObservation,UNEMPL,Unemployment Benefits Coverage,20,0.457,2018,45.7
789,{'$oid': '642b15e88c5067f4a899fff1'},Czech Republic,CZE,IndicatorObservation,WATMAN,Water Management,14,0.73,2018,0.73
790,{'$oid': '642b15e88c5067f4a899fff2'},Denmark,DNK,IndexAggregate,MS,Market Structure Pillar,2,0.76,2018,
791,{'$oid': '642b15e88c5067f4a899fff3'},Denmark,DNK,IndexAggregate,MS_FIN,MS: Financial Sector Category,13,0.798,2018,
792,{'$oid': '642b15e88c5067f4a899fff4'},Denmark,DNK,IndexAggregate,MS_NEQ,MS: Inequality Category,9,0.648,2018,
793,{'$oid': '642b15e88c5067f4a899fff5'},Denmark,DNK,IndexAggregate,MS_TAX,MS: Tax Category,4,0.705,2018,
794,{'$oid': '642b15e88c5067f4a899fff6'},Denmark,DNK,IndexAggregate,MS_WEN,MS: Worker Engagement Category,8,0.851,2018,
795,{'$oid': '642b15e88c5067f4a899fff7'},Denmark,DNK,IndexAggregate,MS_WWB,MS: Worker Wellbeing Category,3,0.799,2018,
796,{'$oid': '642b15e88c5067f4a899fff8'},Denmark,DNK,IndexAggregate,PG,Public Goods Pillar,2,0.872,2018,
797,{'$oid': '642b15e88c5067f4a899fff9'},Denmark,DNK,IndexAggregate,PG_EDU,PG: Education Category,5,0.933,2018,
798,{'$oid': '642b15e88c5067f4a899fffa'},Denmark,DNK,IndexAggregate,PG_GLB,PG: Global Role Category,3,0.857,2018,
799,{'$oid': '642b15e88c5067f4a899fffb'},Denmark,DNK,IndexAggregate,PG_HLC,PG: Healthcare Category,19,0.736,2018,
800,{'$oid': '642b15e88c5067f4a899fffc'},Denmark,DNK,IndexAggregate,PG_INF,PG: Infrastructure Category,3,0.897,2018,
801,{'$oid': '642b15e88c5067f4a899fffd'},Denmark,DNK,IndexAggregate,PG_RTS,PG: Rights Category,,0.905,2018,
802,{'$oid': '642b15e88c5067f4a899fffe'},Denmark,DNK,IndexAggregate,PG_RTS,PG: Rights Catgory,4,,2018,
803,{'$oid': '642b15e88c5067f4a899ffff'},Denmark,DNK,IndexAggregate,PG_SAF,PG: Public Safety Category,2,0.905,2018,
804,{'$oid': '642b15e88c5067f4a89a0000'},Denmark,DNK,IndexAggregate,SSPI,SSPI,,2.254,2018,
805,{'$oid': '642b15e88c5067f4a89a0001'},Denmark,DNK,IndexAggregate,SSPI,SSPI Overall,49,,2018,
806,{'$oid': '642b15e88c5067f4a89a0002'},Denmark,DNK,IndexAggregate,SUS,Sustainability Pillar,7,0.638,2018,
807,{'$oid': '642b15e88c5067f4a89a0003'},Denmark,DNK,IndexAggregate,SUS_ECO,Sus: Ecosystem Category,5,0.929,2018,
808,{'$oid': '642b15e88c5067f4a89a0004'},Denmark,DNK,IndexAggregate,SUS_GHG,Sus: Greenhouse Gases Category,21,0.7,2018,
809,{'$oid': '642b15e88c5067f4a89a0005'},Denmark,DNK,IndexAggregate,SUS_LND,Sus: Land Category,7,0.637,2018,
810,{'$oid': '642b15e88c5067f4a89a0006'},Denmark,DNK,IndexAggregate,SUS_NRG,Sus: Energy Category,4,0.702,2018,
811,{'$oid': '642b15e88c5067f4a89a0007'},Denmark,DNK,IndexAggregate,SUS_WST,Sus: Waste Category,49,0.222,2018,
812,{'$oid': '642b15e88c5067f4a89a0008'},Denmark,DNK,IndicatorObservation,AIRPOL,Air Pollution,36,0.747,2016,10.12
813,{'$oid': '642b15e88c5067f4a89a0009'},Denmark,DNK,IndicatorObservation,ALTNRG,Alternative Energy Generation,7,0.501,2018,30.089
814,{'$oid': '642b15e88c5067f4a89a000a'},Denmark,DNK,IndicatorObservation,AQELEC,Availability and Quality of Electricity,4,0.985,2018,0.9849
815,{'$oid': '642b15e88c5067f4a89a000b'},Denmark,DNK,IndicatorObservation,ARMEXP,Arms Exports,25,0.979,2018,31
816,{'$oid': '642b15e88c5067f4a89a000c'},Denmark,DNK,IndicatorObservation,ATBRTH,Births Attended by Skilled Personnel,46,0.735,2017,94.7
817,{'$oid': '642b15e88c5067f4a89a000d'},Denmark,DNK,IndicatorObservation,BEEFMK,Beef Market,40,0.671,2018,0.671
818,{'$oid': '642b15e88c5067f4a89a000e'},Denmark,DNK,IndicatorObservation,BIODIV,Biodiversity Protection,4,0.918,2018,91.762
819,{'$oid': '642b15e88c5067f4a89a000f'},Denmark,DNK,IndicatorObservation,CARBON,Carbon Capture,24,0.326,2018,12.923
820,{'$oid': '642b15e88c5067f4a89a0010'},Denmark,DNK,IndicatorObservation,CHILDW,Child Worker Engagement,8,0.857,2018,0.857
821,{'$oid': '642b15e88c5067f4a89a0011'},Denmark,DNK,IndicatorObservation,COALPW,Energy from Coal Sources,24,0.8063434726,2018,9.68282637
822,{'$oid': '642b15e88c5067f4a89a0012'},Denmark,DNK,IndicatorObservation,COLBAR,Collective Bargaining Rights Coverage,8,0.84,2015,0.84
823,{'$oid': '642b15e88c5067f4a89a0013'},Denmark,DNK,IndicatorObservation,CRPTAX,Corporate Tax Rate,24,0.55,2018,22
824,{'$oid': '642b15e88c5067f4a89a0014'},Denmark,DNK,IndicatorObservation,CSTUNT,Child Stunting,43,0.978,2018,1.11
825,{'$oid': '642b15e88c5067f4a89a0015'},Denmark,DNK,IndicatorObservation,CYBSEC,Global Cybersecurity Index,17,0.85,2018,0.85
826,{'$oid': '642b15e88c5067f4a89a0016'},Denmark,DNK,IndicatorObservation,DEFRST,Deforestation,2,0.977,2018,0.386
827,{'$oid': '642b15e88c5067f4a89a0017'},Denmark,DNK,IndicatorObservation,DPTCOV,Infant DTP Vaccine Coverage,7,0.92,2017,98
828,{'$oid': '642b15e88c5067f4a89a0018'},Denmark,DNK,IndicatorObservation,DRKWAT,Safe Drinking Water,16,0.996,2015,99.6
829,{'$oid': '642b15e88c5067f4a89a0019'},Denmark,DNK,IndicatorObservation,EDEMOC,Electoral Democracy Index,1,0.913,2018,0.913
830,{'$oid': '642b15e88c5067f4a89a001a'},Denmark,DNK,IndicatorObservation,ENRPRI,Primary School Net Enrollment,11,0.935,2016,98.69
831,{'$oid': '642b15e88c5067f4a89a001b'},Denmark,DNK,IndicatorObservation,ENRSEC,Lower Secondary School Net Enrollment,21,0.958,2016,98.74
832,{'$oid': '642b15e88c5067f4a89a001c'},Denmark,DNK,IndicatorObservation,EWASTE,E-Waste Generation,11,0.276,2018,28.9786825
833,{'$oid': '642b15e88c5067f4a89a001d'},Denmark,DNK,IndicatorObservation,FAMPLN,Unment Need for Family Planning,33,0.525,2018,9.5
834,{'$oid': '642b15e88c5067f4a89a001e'},Denmark,DNK,IndicatorObservation,FATINJ,Fatal Workplace Injuries,44,0.96,2015,1
835,{'$oid': '642b15e88c5067f4a89a001f'},Denmark,DNK,IndicatorObservation,FDEPTH,Financial Depth,10,0.566,2018,0.566
836,{'$oid': '642b15e88c5067f4a89a0020'},Denmark,DNK,IndicatorObservation,FORAID,Foreign Aid,10,0.59,2018,0.59
837,{'$oid': '642b15e88c5067f4a89a0021'},Denmark,DNK,IndicatorObservation,FSTABL,Financial Stability,30,0.83,2018,1.7
838,{'$oid': '642b15e88c5067f4a89a0022'},Denmark,DNK,IndicatorObservation,GENDEQ,Gender Equality Index,8,0.937,2018,3.7486
839,{'$oid': '642b15e88c5067f4a89a0023'},Denmark,DNK,IndicatorObservation,GINIPT,GINI Coefficient After Taxes,40,0.826,2017,28.7
840,{'$oid': '642b15e88c5067f4a89a0024'},Denmark,DNK,IndicatorObservation,GTRANS,Green Transport Index,16,0.623,2016,0.623
841,{'$oid': '642b15e88c5067f4a89a0025'},Denmark,DNK,IndicatorObservation,INCARC,Incarceration Rates,42,0.95,2018,65
842,{'$oid': '642b15e88c5067f4a89a0026'},Denmark,DNK,IndicatorObservation,INCONV,Adoption of Key UN Conventions,24,0.8,2019,8
843,{'$oid': '642b15e88c5067f4a89a0027'},Denmark,DNK,IndicatorObservation,INTRNT,Internet Access and Quality,2,0.685,2016/2020,0.68545
844,{'$oid': '642b15e88c5067f4a89a0028'},Denmark,DNK,IndicatorObservation,ISHRAT,Income Share Ratio,10,0.47,2018,0.694
845,{'$oid': '642b15e88c5067f4a89a0029'},Denmark,DNK,IndicatorObservation,IUCNRL,IUCN Red List Index,9,0.94,2018,0.97
846,{'$oid': '642b15e88c5067f4a89a002a'},Denmark,DNK,IndicatorObservation,LFPART,Labor Force Participation,30,0.862,2017,86.17
847,{'$oid': '642b15e88c5067f4a89a002b'},Denmark,DNK,IndicatorObservation,MATERN,Paid Maternity Leave,15,0.53,2018,27.56
848,{'$oid': '642b15e88c5067f4a89a002c'},Denmark,DNK,IndicatorObservation,MILEXP,Military Expenditure,27,0.86,2018,1.4
849,{'$oid': '642b15e88c5067f4a89a002d'},Denmark,DNK,IndicatorObservation,MSWGEN,Municipal Solid Waste Generation,1,0,2018,844
850,{'$oid': '642b15e88c5067f4a89a002e'},Denmark,DNK,IndicatorObservation,MURDER,Intentional Homicide Rate,28,0.951,2016,0.98
851,{'$oid': '642b15e88c5067f4a89a002f'},Denmark,DNK,IndicatorObservation,NITROG,Sustainable Nitrogen Management,6,0.67,2018,67.02
852,{'$oid': '642b15e88c5067f4a89a0030'},Denmark,DNK,IndicatorObservation,NRGINT,Energy Intensity,47,0.857,2018,2.14
853,{'$oid': '642b15e88c5067f4a89a0031'},Denmark,DNK,IndicatorObservation,PHYSPC,"Physicians per 10,000",16,0.523,2010-2017,36.6
854,{'$oid': '642b15e88c5067f4a89a0032'},Denmark,DNK,IndicatorObservation,PUBACC,Public Access to Financial Sector,1,0.999,2017,99.92
855,{'$oid': '642b15e88c5067f4a89a0033'},Denmark,DNK,IndicatorObservation,PUBSRV,Quality of Public Services & Government,3,0.878,2018,1.89
856,{'$oid': '642b15e88c5067f4a89a0034'},Denmark,DNK,IndicatorObservation,PUPTCH,Primary School Pupil to Teacher Ratio,37,0.906,2018,11.9
857,{'$oid': '642b15e88c5067f4a89a0035'},Denmark,DNK,IndicatorObservation,RDFUND,Research and Development,1,1,2018,1
858,{'$oid': '642b15e88c5067f4a89a0036'},Denmark,DNK,IndicatorObservation,RECYCL,Recycling Rate,15,0.39,2018,27.27
859,{'$oid': '642b15e88c5067f4a89a0037'},Denmark,DNK,IndicatorObservation,RULELW,Rule of Law Index,1,0.999,2018,0.999
860,{'$oid': '642b15e88c5067f4a89a0038'},Denmark,DNK,IndicatorObservation,SANSRV,Basic Sanitation Services,26,0.967,2015,96.74
861,{'$oid': '642b15e88c5067f4a89a0039'},Denmark,DNK,IndicatorObservation,SECAPP,Security Apparatus,43,0.87,2019,1.3
862,{'$oid': '642b15e88c5067f4a89a003a'},Denmark,DNK,IndicatorObservation,SENIOR,Senior Wellbeing,8,0.769,2018,0.769
863,{'$oid': '642b15e88c5067f4a89a003b'},Denmark,DNK,IndicatorObservation,STKHLM,Stockholm Convention Compliance,15,0.833,2015,83.33
864,{'$oid': '642b15e88c5067f4a89a003c'},Denmark,DNK,IndicatorObservation,TAXEVA,Tax Evasion,32,0.897,2018/2019,196.56
865,{'$oid': '642b15e88c5067f4a89a003d'},Denmark,DNK,IndicatorObservation,TAXREV,Tax Revenue,1,0.667,2017,33.36881
866,{'$oid': '642b15e88c5067f4a89a003e'},Denmark,DNK,IndicatorObservation,TRNETW,National Transport Network Intensity,9,0.85,2007-17,0.85
867,{'$oid': '642b15e88c5067f4a89a003f'},Denmark,DNK,IndicatorObservation,UNEMPL,Unemployment Benefits Coverage,8,0.937,2018,93.7
868,{'$oid': '642b15e88c5067f4a89a0040'},Denmark,DNK,IndicatorObservation,WATMAN,Water Management,43,0.38,2018,0.38
869,{'$oid': '642b15e88c5067f4a89a0041'},Estonia,EST,IndexAggregate,MS,Market Structure Pillar,21,0.602,2018,
870,{'$oid': '642b15e88c5067f4a89a0042'},Estonia,EST,IndexAggregate,MS_FIN,MS: Financial Sector Category,17,0.749,2018,
871,{'$oid': '642b15e88c5067f4a89a0043'},Estonia,EST,IndexAggregate,MS_NEQ,MS: Inequality Category,19,0.545,2018,
872,{'$oid': '642b15e88c5067f4a89a0044'},Estonia,EST,IndexAggregate,MS_TAX,MS: Tax Category,22,0.616,2018,
873,{'$oid': '642b15e88c5067f4a89a0045'},Estonia,EST,IndexAggregate,MS_WEN,MS: Worker Engagement Category,31,0.537,2018,
874,{'$oid': '642b15e88c5067f4a89a0046'},Estonia,EST,IndexAggregate,MS_WWB,MS: Worker Wellbeing Category,31,0.563,2018,
875,{'$oid': '642b15e88c5067f4a89a0047'},Estonia,EST,IndexAggregate,PG,Public Goods Pillar,23,0.774,2018,
876,{'$oid': '642b15e88c5067f4a89a0048'},Estonia,EST,IndexAggregate,PG_EDU,PG: Education Category,30,0.842,2018,
877,{'$oid': '642b15e88c5067f4a89a0049'},Estonia,EST,IndexAggregate,PG_GLB,PG: Global Role Category,21,0.638,2018,
878,{'$oid': '642b15e88c5067f4a89a004a'},Estonia,EST,IndexAggregate,PG_HLC,PG: Healthcare Category,33,0.681,2018,
879,{'$oid': '642b15e88c5067f4a89a004b'},Estonia,EST,IndexAggregate,PG_INF,PG: Infrastructure Category,15,0.841,2018,
880,{'$oid': '642b15e88c5067f4a89a004c'},Estonia,EST,IndexAggregate,PG_RTS,PG: Rights Category,,0.85,2018,
881,{'$oid': '642b15e88c5067f4a89a004d'},Estonia,EST,IndexAggregate,PG_RTS,PG: Rights Catgory,20,,2018,
882,{'$oid': '642b15e88c5067f4a89a004e'},Estonia,EST,IndexAggregate,PG_SAF,PG: Public Safety Category,27,0.795,2018,
883,{'$oid': '642b15e88c5067f4a89a004f'},Estonia,EST,IndexAggregate,SSPI,SSPI,,7.796,2018,
884,{'$oid': '642b15e88c5067f4a89a0050'},Estonia,EST,IndexAggregate,SSPI,SSPI Overall,32,,2018,
885,{'$oid': '642b15e88c5067f4a89a0051'},Estonia,EST,IndexAggregate,SUS,Sustainability Pillar,16,0.602,2018,
886,{'$oid': '642b15e88c5067f4a89a0052'},Estonia,EST,IndexAggregate,SUS_ECO,Sus: Ecosystem Category,2,0.966,2018,
887,{'$oid': '642b15e88c5067f4a89a0053'},Estonia,EST,IndexAggregate,SUS_GHG,Sus: Greenhouse Gases Category,46,0.482,2018,
888,{'$oid': '642b15e88c5067f4a89a0054'},Estonia,EST,IndexAggregate,SUS_LND,Sus: Land Category,25,0.554,2018,
889,{'$oid': '642b15e88c5067f4a89a0055'},Estonia,EST,IndexAggregate,SUS_NRG,Sus: Energy Category,16,0.604,2018,
890,{'$oid': '642b15e88c5067f4a89a0056'},Estonia,EST,IndexAggregate,SUS_WST,Sus: Waste Category,25,0.405,2018,
891,{'$oid': '642b15e88c5067f4a89a0057'},Estonia,EST,IndicatorObservation,AIRPOL,Air Pollution,44,0.832,2016,6.74
892,{'$oid': '642b15e88c5067f4a89a0058'},Estonia,EST,IndicatorObservation,ALTNRG,Alternative Energy Generation,13,0.35,2018,21.021
893,{'$oid': '642b15e88c5067f4a89a0059'},Estonia,EST,IndicatorObservation,AQELEC,Availability and Quality of Electricity,32,0.914,2018,0.9138
894,{'$oid': '642b15e88c5067f4a89a005a'},Estonia,EST,IndicatorObservation,ARMEXP,Arms Exports,34,1,2018,0
895,{'$oid': '642b15e88c5067f4a89a005b'},Estonia,EST,IndicatorObservation,ATBRTH,Births Attended by Skilled Personnel,23,0.96,2017,99.2
896,{'$oid': '642b15e88c5067f4a89a005c'},Estonia,EST,IndicatorObservation,BEEFMK,Beef Market,12,0.883,2018,0.883
897,{'$oid': '642b15e88c5067f4a89a005d'},Estonia,EST,IndicatorObservation,BIODIV,Biodiversity Protection,2,0.951,2018,95.12
898,{'$oid': '642b15e88c5067f4a89a005e'},Estonia,EST,IndicatorObservation,CARBON,Carbon Capture,30,0.267,2018,9.693
899,{'$oid': '642b15e88c5067f4a89a005f'},Estonia,EST,IndicatorObservation,CHILDW,Child Worker Engagement,19,0.786,2018,0.786
900,{'$oid': '642b15e88c5067f4a89a0060'},Estonia,EST,IndicatorObservation,COALPW,Energy from Coal Sources,2,0,2018,70.85454598
901,{'$oid': '642b15e88c5067f4a89a0061'},Estonia,EST,IndicatorObservation,COLBAR,Collective Bargaining Rights Coverage,32,0.19,2015,0.19
902,{'$oid': '642b15e88c5067f4a89a0062'},Estonia,EST,IndicatorObservation,CRPTAX,Corporate Tax Rate,30,0.5,2018,20
903,{'$oid': '642b15e88c5067f4a89a0063'},Estonia,EST,IndicatorObservation,CSTUNT,Child Stunting,19,0.89,2018,5.52
904,{'$oid': '642b15e88c5067f4a89a0064'},Estonia,EST,IndicatorObservation,CYBSEC,Global Cybersecurity Index,4,0.91,2018,0.91
905,{'$oid': '642b15e88c5067f4a89a0065'},Estonia,EST,IndicatorObservation,DEFRST,Deforestation,14,0.477,2018,0.086
906,{'$oid': '642b15e88c5067f4a89a0066'},Estonia,EST,IndicatorObservation,DPTCOV,Infant DTP Vaccine Coverage,37,0.72,2017,93
907,{'$oid': '642b15e88c5067f4a89a0067'},Estonia,EST,IndicatorObservation,DRKWAT,Safe Drinking Water,15,0.996,2015,99.61
908,{'$oid': '642b15e88c5067f4a89a0068'},Estonia,EST,IndicatorObservation,EDEMOC,Electoral Democracy Index,3,0.901,2018,0.901
909,{'$oid': '642b15e88c5067f4a89a0069'},Estonia,EST,IndicatorObservation,ENRPRI,Primary School Net Enrollment,41,0.674,2016,93.48
910,{'$oid': '642b15e88c5067f4a89a006a'},Estonia,EST,IndicatorObservation,ENRSEC,Lower Secondary School Net Enrollment,13,0.984,2016,99.53
911,{'$oid': '642b15e88c5067f4a89a006b'},Estonia,EST,IndicatorObservation,EWASTE,E-Waste Generation,13,0.353,2018,25.86481128
912,{'$oid': '642b15e88c5067f4a89a006c'},Estonia,EST,IndicatorObservation,FAMPLN,Unment Need for Family Planning,15,0.345,2018,13.1
913,{'$oid': '642b15e88c5067f4a89a006d'},Estonia,EST,IndicatorObservation,FATINJ,Fatal Workplace Injuries,17,0.84,2016,4
914,{'$oid': '642b15e88c5067f4a89a006e'},Estonia,EST,IndicatorObservation,FDEPTH,Financial Depth,35,0.308,2018,0.308
915,{'$oid': '642b15e88c5067f4a89a006f'},Estonia,EST,IndicatorObservation,FORAID,Foreign Aid,30,0.154,2018,0.154
916,{'$oid': '642b15e88c5067f4a89a0070'},Estonia,EST,IndicatorObservation,FSTABL,Financial Stability,47,0.96,2018,0.4
917,{'$oid': '642b15e88c5067f4a89a0071'},Estonia,EST,IndicatorObservation,GENDEQ,Gender Equality Index,22,0.844,2018,3.3742
918,{'$oid': '642b15e88c5067f4a89a0072'},Estonia,EST,IndicatorObservation,GINIPT,GINI Coefficient After Taxes,36,0.792,2017,30.4
919,{'$oid': '642b15e88c5067f4a89a0073'},Estonia,EST,IndicatorObservation,GTRANS,Green Transport Index,34,0.563,2016,0.563
920,{'$oid': '642b15e88c5067f4a89a0074'},Estonia,EST,IndicatorObservation,INCARC,Incarceration Rates,18,0.698,2018,191
921,{'$oid': '642b15e88c5067f4a89a0075'},Estonia,EST,IndicatorObservation,INCONV,Adoption of Key UN Conventions,24,0.8,2019,8
922,{'$oid': '642b15e88c5067f4a89a0076'},Estonia,EST,IndicatorObservation,INTRNT,Internet Access and Quality,14,0.554,2016/2020,0.55405
923,{'$oid': '642b15e88c5067f4a89a0077'},Estonia,EST,IndicatorObservation,ISHRAT,Income Share Ratio,25,0.298,2018,0.513
924,{'$oid': '642b15e88c5067f4a89a0078'},Estonia,EST,IndicatorObservation,IUCNRL,IUCN Red List Index,1,0.98,2018,0.99
925,{'$oid': '642b15e88c5067f4a89a0079'},Estonia,EST,IndicatorObservation,LFPART,Labor Force Participation,11,0.885,2017,88.47
926,{'$oid': '642b15e88c5067f4a89a007a'},Estonia,EST,IndicatorObservation,MATERN,Paid Maternity Leave,7,0.656,2018,34.11
927,{'$oid': '642b15e88c5067f4a89a007b'},Estonia,EST,IndicatorObservation,MILEXP,Military Expenditure,21,0.83,2018,1.7
928,{'$oid': '642b15e88c5067f4a89a007c'},Estonia,EST,IndicatorObservation,MSWGEN,Municipal Solid Waste Generation,40,0.508,2018,369
929,{'$oid': '642b15e88c5067f4a89a007d'},Estonia,EST,IndicatorObservation,MURDER,Intentional Homicide Rate,14,0.841,2016,3.19
930,{'$oid': '642b15e88c5067f4a89a007e'},Estonia,EST,IndicatorObservation,NITROG,Sustainable Nitrogen Management,27,0.408,2018,40.75
931,{'$oid': '642b15e88c5067f4a89a007f'},Estonia,EST,IndicatorObservation,NRGINT,Energy Intensity,8,0.631,2018,5.54
932,{'$oid': '642b15e88c5067f4a89a0080'},Estonia,EST,IndicatorObservation,PHYSPC,"Physicians per 10,000",23,0.49,2010-2017,34.3
933,{'$oid': '642b15e88c5067f4a89a0081'},Estonia,EST,IndicatorObservation,PUBACC,Public Access to Financial Sector,15,0.98,2017,97.99
934,{'$oid': '642b15e88c5067f4a89a0082'},Estonia,EST,IndicatorObservation,PUBSRV,Quality of Public Services & Government,24,0.724,2018,1.12
935,{'$oid': '642b15e88c5067f4a89a0083'},Estonia,EST,IndicatorObservation,PUPTCH,Primary School Pupil to Teacher Ratio,33,0.868,2018,13.1
936,{'$oid': '642b15e88c5067f4a89a0084'},Estonia,EST,IndicatorObservation,RDFUND,Research and Development,23,0.569,2018,0.569
937,{'$oid': '642b15e88c5067f4a89a0085'},Estonia,EST,IndicatorObservation,RECYCL,Recycling Rate,26,0.353,2018,24.74
938,{'$oid': '642b15e88c5067f4a89a0086'},Estonia,EST,IndicatorObservation,RULELW,Rule of Law Index,15,0.981,2018,0.981
939,{'$oid': '642b15e88c5067f4a89a0087'},Estonia,EST,IndicatorObservation,SANSRV,Basic Sanitation Services,45,0.817,2015,81.69
940,{'$oid': '642b15e88c5067f4a89a0088'},Estonia,EST,IndicatorObservation,SECAPP,Security Apparatus,27,0.73,2019,2.7
941,{'$oid': '642b15e88c5067f4a89a0089'},Estonia,EST,IndicatorObservation,SENIOR,Senior Wellbeing,45,0.28,2018,0.28
942,{'$oid': '642b15e88c5067f4a89a008a'},Estonia,EST,IndicatorObservation,STKHLM,Stockholm Convention Compliance,15,0.833,2015,83.33
943,{'$oid': '642b15e88c5067f4a89a008b'},Estonia,EST,IndicatorObservation,TAXEVA,Tax Evasion,40,0.929,2018/2019,145.735
944,{'$oid': '642b15e88c5067f4a89a008c'},Estonia,EST,IndicatorObservation,TAXREV,Tax Revenue,20,0.42,2017,20.98127
945,{'$oid': '642b15e88c5067f4a89a008d'},Estonia,EST,IndicatorObservation,TRNETW,National Transport Network Intensity,4,0.923,2007-17,0.923
946,{'$oid': '642b15e88c5067f4a89a008e'},Estonia,EST,IndicatorObservation,UNEMPL,Unemployment Benefits Coverage,19,0.475,2018,47.5
947,{'$oid': '642b15e88c5067f4a89a008f'},Estonia,EST,IndicatorObservation,WATMAN,Water Management,9,0.78,2018,0.78
948,{'$oid': '642b15e88c5067f4a89a0090'},Finland,FIN,IndexAggregate,MS,Market Structure Pillar,7,0.73,2018,
949,{'$oid': '642b15e88c5067f4a89a0091'},Finland,FIN,IndexAggregate,MS_FIN,MS: Financial Sector Category,16,0.757,2018,
950,{'$oid': '642b15e88c5067f4a89a0092'},Finland,FIN,IndexAggregate,MS_NEQ,MS: Inequality Category,11,0.639,2018,
951,{'$oid': '642b15e88c5067f4a89a0093'},Finland,FIN,IndexAggregate,MS_TAX,MS: Tax Category,23,0.606,2018,
952,{'$oid': '642b15e88c5067f4a89a0094'},Finland,FIN,IndexAggregate,MS_WEN,MS: Worker Engagement Category,7,0.879,2018,
953,{'$oid': '642b15e88c5067f4a89a0095'},Finland,FIN,IndexAggregate,MS_WWB,MS: Worker Wellbeing Category,6,0.768,2018,
954,{'$oid': '642b15e88c5067f4a89a0096'},Finland,FIN,IndexAggregate,PG,Public Goods Pillar,5,0.837,2018,
955,{'$oid': '642b15e88c5067f4a89a0097'},Finland,FIN,IndexAggregate,PG_EDU,PG: Education Category,9,0.925,2018,
956,{'$oid': '642b15e88c5067f4a89a0098'},Finland,FIN,IndexAggregate,PG_GLB,PG: Global Role Category,6,0.742,2018,
957,{'$oid': '642b15e88c5067f4a89a0099'},Finland,FIN,IndexAggregate,PG_HLC,PG: Healthcare Category,22,0.718,2018,
958,{'$oid': '642b15e88c5067f4a89a009a'},Finland,FIN,IndexAggregate,PG_INF,PG: Infrastructure Category,9,0.861,2018,
959,{'$oid': '642b15e88c5067f4a89a009b'},Finland,FIN,IndexAggregate,PG_RTS,PG: Rights Category,,0.9,2018,
960,{'$oid': '642b15e88c5067f4a89a009c'},Finland,FIN,IndexAggregate,PG_RTS,PG: Rights Catgory,8,,2018,
961,{'$oid': '642b15e88c5067f4a89a009d'},Finland,FIN,IndexAggregate,PG_SAF,PG: Public Safety Category,9,0.878,2018,
962,{'$oid': '642b15e88c5067f4a89a009e'},Finland,FIN,IndexAggregate,SSPI,SSPI,,5.233,2018,
963,{'$oid': '642b15e88c5067f4a89a009f'},Finland,FIN,IndexAggregate,SSPI,SSPI Overall,39,,2018,
964,{'$oid': '642b15e88c5067f4a89a00a0'},Finland,FIN,IndexAggregate,SUS,Sustainability Pillar,17,0.597,2018,
965,{'$oid': '642b15e88c5067f4a89a00a1'},Finland,FIN,IndexAggregate,SUS_ECO,Sus: Ecosystem Category,13,0.837,2018,
966,{'$oid': '642b15e88c5067f4a89a00a2'},Finland,FIN,IndexAggregate,SUS_GHG,Sus: Greenhouse Gases Category,24,0.688,2018,
967,{'$oid': '642b15e88c5067f4a89a00a3'},Finland,FIN,IndexAggregate,SUS_LND,Sus: Land Category,24,0.555,2018,
968,{'$oid': '642b15e88c5067f4a89a00a4'},Finland,FIN,IndexAggregate,SUS_NRG,Sus: Energy Category,6,0.679,2018,
969,{'$oid': '642b15e88c5067f4a89a00a5'},Finland,FIN,IndexAggregate,SUS_WST,Sus: Waste Category,46,0.228,2018,
970,{'$oid': '642b15e88c5067f4a89a00a6'},Finland,FIN,IndicatorObservation,AIRPOL,Air Pollution,48,0.853,2016,5.88
